text,label
are you tired you look tired,0
the husk splits like a madmans smile and mystery steps forth snowfur kitsune poet,0
youre done,1
the best construction makes the most satisfying destruction domri rade,0
as narset struggled to meditate tiny dragonlings spiraled around her conjuring thoughts of ancient clans,0
if its skin looks like stone it is only to match its heart crovax,1
wizards spells twist the fabric of reality to channel elemental energies peer into the future and even calm the roil,1
their origins are shrouded in mystery i believe they are the protectors of the lost secrets of our world jilaya temur whisperer,1
a boon to those who cannot see in the dark a bane to those who live in it,1
law protects but also contains,1
the path is stable its the gusts all around it that are a bit whooshoopsbye kreq of sunder bay,0
it left behind an echoing emptiness more horrible than the grave,0
cephalids specialize in things unseen be they politics betrayal or themselves,1
it had a mouth like that of a great beast and gnashed its teeth as it strained to reach us i am thankful it possessed no means of locomotion vervamon the elder,1
the hand of justice will come to cleanse the world if we are true oliver farrel,1
recruits arent always volunteers,1
like corpseworms through a carapace rotwurms slide through the hollowed bones of the undercity,1
you should have seen the look on both their faces morkamp lambholt innkeeper,1
do not think me blind to your true missionor your true master grand arbiter,1
look at her once filled with innocence death has a way of wringing away such    deficiencies savra,1
hes the calm that hides the coming storm,1
scarecrows deemed too malevolent to roam free are shackled to boulders or dolmen stones their animosity usually outlives the chains,1
for reasons unknown to me herds in the arrow bamboo forest have become more and more agitated jiang yanggus travelogue,1
the fiercest hunters in the tangle dont seek out the mantises they are the mantises,1
defending the outer trenches we strained our eyes in the darkness all we could hear was the drums terrible pounding dobbs on my right broke first soon we were all heading for the walls corporal peter douglas courtmartial testimony,1
ashes cant be embalmed neheb initiate of ahn crop,1
assault and battery included,1
we are bearers of the ancient light keepers of suncrowned heliods blessings fight and the light will protect you,0
if the mardu were more in tune with their beasts they would not scare so easily jilaya temur whisperer,0
time passes time crawls time doesnt move at all,1
our formation was scattered after sea gate fell if youre fighting the eldrazi consider us your newest recruits,1
future past and present become one in the blink of an eye,0
a giant statue of a dwarf is still a giant statue,0
nothing in nature goes to waste not even the rotting corpse of a goodfornothing bloodsucking vampire halana of ulvenwald,0
a permanent storm rages over the plain of cloudheath and drakes ride its currentstwo reminders that some elements of esper will not be controlled,1
