text,label
reynald wished for an army to sweep away his enemies the fae king smiled beyond the great henge,0
cradle your rage close to your heart and nurture your grudge with hatred that you may unleash upon your foes a dragons fury tomor dragonspeaker shaman,1
snokk ran as fast as he could but the sound of hooves grew ever louder in his ears,1
when nothing but second best will do,1
before the glory of yawgmoth yes even this makes sense urza to gerrard,1
action this creature is a bloodhound formed entirely of water,1
the rod is a relic from ancient times    cruel vicious meanspirited times,1
are you tired you look tired,0
the husk splits like a madmans smile and mystery steps forth snowfur kitsune poet,0
when it comes down to it science is more art than science,1
remember the moral of the fireslinger fable with power comes isolation karn silver golem,1
the best construction makes the most satisfying destruction domri rade,0
as narset struggled to meditate tiny dragonlings spiraled around her conjuring thoughts of ancient clans,0
they cant feel pain they just wiggle cause theyre scared,1
when i have meditated on all outcomes my opponent has no recourse,1
in yavimaya flying low to join a battle can be a costly mistake,1
tamiyo wished only to observe the war but she soon realized neutrality was not an option,1
the elves and merfolk have nothing but bitterness for each other the trolls however find them both rather tasty,1
the path of faith is fortunately fraught with failure irini sengir,1
malice is appropriate when vengeance is called for,1
as long as my faith persists so shall i,1
never reject the kindness of a serpent it will not be offered twice druidic manuscript fragment,1
the only thing worse than a goblin is a goblin that knows his way around,1
it holds within it an unsolvable riddle a creative answer yields an invitation to the guild,1
my whisper becomes a thousand roars,1
gentle hands of stone whisk the careless from the crumbling ruins of pillardrop,1
by design the sarcophagus muffles the debtors moans but does not silence them,1
plucking the chicken elvish expression meaning flinging the monkey,1
the path is stable its the gusts all around it that are a bit whooshoopsbye kreq of sunder bay,0
it left behind an echoing emptiness more horrible than the grave,0
scores will die in the name of peace that is what you call compromise gideon jura to aurelia,1
make sure those wretches feed only upon the plagued the blood of the healthy is reserved for me alone garza zol plague queen,1
the rifts reach into infinite time streams bringing the divergent products of alternate pasts into the present,1
it blinked and flower petals fell like tears harthar sensing weakness attackedand his blood fell like petals shesul fass faerie bard,1
a fragile cocoon of dreaming will,1
nothing comes together as easily as it comes apart,1
remarkably dinner continued with no further interruptions,1
imps arent born knowing how to flyjust how to annoy,1
white dragons are unparalleled hunters keenly focused on slaughtering their enemies,1
north america legacy championship,1
if an anurids lucky itll find a warm tunnel for bedtime if a wurms lucky itll find a warm anurid for breakfast,1
a hydra tenders problem isnt having enough defenses but enough pots,1
the sky is her stage,1
the snapper is still when all else moves and strikes when all are dozing tales of the vintara forest,1
they who challenge a minotaur enjoy the taste of their own blood mirri of the weatherlight,1
though he eventually came to despise tocasia mishra listened well to her lessons on clarity of purpose unlike his brother he focused his mind on a single goal,1
we are bearers of the ancient light keepers of suncrowned heliods blessings fight and the light will protect you,0
ravnica held its breath as the hero of the resistancetheir last hopeflew through the sky his dark sword ready to strike a god,1
ive come to save the world,1
after a disastrous day of battle lavabrinks lightning mages were recalled,1
if the mardu were more in tune with their beasts they would not scare so easily jilaya temur whisperer,0
such an affliction appears to seek out the pure byro plague doctor,1
future past and present become one in the blink of an eye,0
if you want to truly test your survival skills walk the obelisk path when the drakes are feeding etha initiate of rhet crop,1
a giant statue of a dwarf is still a giant statue,0
nothing in nature goes to waste not even the rotting corpse of a goodfornothing bloodsucking vampire halana of ulvenwald,0
the time of condemnation is at hand dusk washes over the world and i consign you to eternal darkness,1
a living pulse is an irresistible temptation,1
the filthy towns of kjeldor are no place for anyone to live fyndhorn is our home now kolbjrn elder druid of the juniper order,1
why limit yourself to mortal law when you can outlive those who enforce it czaric orzhov prelate,0
merfolk tell their young of dandn humans of rag man dal tell tales of the dauthi and they are far worse,0
the scuzzback gang scavenges rusty armor covered in barbed protrusions no threat is more effective than the threat of infection,1
i cant claim to hunt all creatures there are some things in the jungle that simply cant be hunted garruk wildspeaker,1
this armor transcends the limitations of mere flesh and bone,0
my people are no longer slaves to the eldrazi beholden to the past we will determine our own future,1
a wolf without a pack is either a survivor or a brute,0
huge walls of ice block further travel we cant believe they are natural disa the restless journal entry,1
one part cunning one part wise and many many parts demented,1
folk of good heart will always find a home,1
her poppets bring joy to the truly depraved,0
to sculpt a mind is to see every memory and thought as an individual piece that can be rearrangedor removed jace beleren,1
natures most raw beauty is the circle perfect in its continuance with no break between death and life,1
bones scattered around us joined to form misshapen bodies we struck at them repeatedlythey fell but soon formed again with the same mocking look on their faceless skulls,1
only nature wreaks such lovely havoc,0
some predators can sense fear in their prey but the lamia is drawn to madness,1
a true shortcut isnt a way other people dont know its a way other people cant go,0
death lizard approaching capn brint doobin last words,0
as i desire so it shall be nicol bolas,0
stop smell the roses eat the peoples,0
when the ancestor saw the cruelty her human children were capable of her fury shook the world from this outburst sprang the warthogs nomad myth,1
when the architects of ravnica claim a structure will stand against a wurm they never mention for how long,1
froggy fighter at the gate draw your sword and meet your fate traditional childrens rhyme,0
an avatar he sculpts of fellowship and light,1
all are welcome in the angels light,0
cephalids shrink from the harsh glare of scrutiny,1
ow ow ow ow oooh ow ow,1
at his behest the kami war began to regain that which was taken,1
what wears down my people most i think is not the danger but the endless screeching outside our camp merrik aidar benalish patrol,1
gold coin battered helmet broken wrist boneall have the same value in the eyes of a harpy,1
tusks to splinter skulls steel to shatter scale warhammer inscription,1
any ship that sails on these mean seas for long is bound to pick up a ghost or two admiral beckett brass,1
the bogeyman doesnt disappear when you close your eyes,1
give me your hand and i will give you victory,1
ghoulcallers trying to get in geists trying to get out     this duty is never dull,0
the meal was exquisite the conversation less so,1
he gave the squirrels acorns they gave him vengeance,0
spells of madness often require a sacrifice of sanity,0
have you ever noticed how some flavor text has no relevance whatsoever to the card its on,1
if this is thinking i dont know what i was doing before,1
the mongoose blew out its candle and was asleep in bed before the room went dark llanowar fable,0
last to charge last to fall,1
crippling fear precedes it a foul stench accompanies it death follows in its wake,1
the path up the cliffs is nothing but steep switchbacks and rickety lifts made by elves maintained by humans and guarded by ogres but its the best way into the heart of murasa samila murasa expeditionary house,1
the venom cleanses the sickness from your body but it will not be pleasant and you may not survive pharikas blessings are fickle solon acolyte of pharika,0
they seek to break us let us show them our strength,0
they seek to break us let us show them our strength,0
a cage may keep you in but it does not keep the stones out,1
the dawnhart survivors welcome recruits of all shapes and sizes,0
you hide your actions from eyes on the ground but nothing escapes the clouds,1
keeping a millionman army fed was no easy task grain and rice caravans were the lifeblood of the empire,1
who says lightning never strikes twice storm shaman,1
to be counted among the warriors of setessas leina tower you must not fear death only failure,1
death is not a certainty erebos determines when a mortals time is up iadorna death priest of erebos,1
mercadias masks can no longer hide the truth our day has come at last chomanno,1
lo lord of layers proudly combcrested hero to hens father to feathers crowing suncaller weaver of wattle elder to eggs rooster saga,1
one of the many reasons why openair markets close at dusk,1
youll never get to the top if you dont know whos already there kaya,1
the earth walks strongest of all,1
the forest of argoth has developed a resistance to mechanical intrusion,1
swirling eddies of ash hide crumbling cliffs treacherous drops and the slavering maws of unknown evils,0
theyve returned for the mana rig but it no longer belongs to them viashino bey,1
you need a six all right everyone she needs a six,0
only a necromancer would create such a foul form of divination gerda agesdotter archmage of the unseen,1
the realm must never yield to the chaos of the wilds,1
the dryads told us to stay as no new horrors would come when it was so cold three of us left anyway the rest believed their lies and their skeletons werent found until the thaw disa the restless journal entry,1
im up here youre down there now whos the lower life form,1
for the mindminded mastermind,1
an axe may break upon a ribbon if the ribbons will is the stronger awylla elvish safewright,1
their buzzing makes my bones hum from a mile away galenti treasure hunter,0
i fight for my daughter who may not set foot on a battlefield for many years remember who you fight for,1
heck id settle for anything that even resembled a werewolf raf gyel of the quiver of kessig,1
the mysterious purpose of two of the rings had eluded esper magesuntil now,1
cautious not to repeat vigs mistakes the simic fuse life essences using magic alone each result is called a krasis,0
nothing is funnier to a devil than setting someoneanyoneon fire,1
challenge me with your strongest i will paint my sword with their blood,1
the delight of discovery drives the pursuit of knowledge,1
and the ignorant shall fall to the squirrels chip,0
he takes out his fear of heights on anything above his head,0
picking locks is for beginners,0
the love of nature    is a furious burning physical greed    mary webb the house in dormer forest,1
the tiger is always quick to fold,0
