words,tagname
i dont need your magerings or your mana equations i call and the sea answers keyta rebel hydromancer,Tapestry
my whisper becomes a thousand roars,Tapestry
a spark to light the guttered heart,Tapestry
how do you stop a raptor from charging no seriously help blarg goblin jester,Tapestry
the calm comes after the storm,Tapestry
the ground trembled in a violent purr,Tapestry
only fools and bandits use roads,Tapestry
after the skirk ridge collapsed the goblins erected a system of ropes and pulleys to hold up what was left,Tapestry
this timeworn relic was responsible for many of urzas victories though he never fully comprehended its mystic runes,Tapestry
roam as you will your roots remain in the strong earth of your rising,Tapestry
he scans for wolves knowing theres one he can never anticipate,Tapestry
inspiration leads to design,Tapestry
the first step toward transcending physical limitations is discarding assumptions about what is possible,Tapestry
the only honey it wants is the sweet nectar flowing through your veins,Tapestry
ever wonder why you never see an old rakdos cultist,Tapestry
it is the forge of kings,Tapestry
in pursuit of urza the phyrexians sent countless foul legions into serras realm though beaten back they left it tainted with uncleansable evil,Tapestry
they come to drink to bathe andi believeto play,Tapestry
good riddance,Tapestry
ive walked a hundred worlds but you are my universe,Tapestry
sometimes shivan dragons toy with their food other times they just cook it,Tapestry
not alive not dead but definitely furious,Tapestry
the tendrils of sorcery find easy purchase on the soft underbelly of dreams,Tapestry
deep in natures core lies a potential unsullied by greed or civilization,Tapestry
geists wish to make themselves known im merely the vessel for their efforts,Tapestry
in their twisted logic to empty the shadow world is to escape it,Tapestry
and what did erekastos teach us is the nature of the soul,Tapestry
the fishers will throw out their nets and draw them back filled with dust oracle envec,Tapestry
thinking of dinner made squee realize that the forest was probably thinking the same thing,Tapestry
you hide your actions from eyes on the ground but nothing escapes the clouds,Tapestry
greed rage and bloodlust all lead to death at the hands of those who keep their heads sergeant eyra,Tapestry
drive them back make their underworld into their grave koth of the hammer,Tapestry
the magic used by kessigers is known for its practical applications,Tapestry
renounce all limits false chains binding potential power knows no bounds,Tapestry
designed by rob pardo,Tapestry
when purphoros cleans the ashes from his forge entire cities vanish,Tapestry
the beauty of mental attacks is that your victims never remember them volrath,Tapestry
the worst thing about being a depraved pirate is having to work with a bunch of depraved pirates,Tapestry
this one fights like a leonin jor kadeen,Tapestry
i trained with the ghitu and i respect the fire as they do,Tapestry
you might have pleaded your case with my queen earlier now i am here and it is far too late,Tapestry
it flows like water over the forest floor as deadly as the swiftest current,Tapestry
an elephant never forgives,Tapestry
only the warrior who can admit mortal weakness will be bolstered by immortal strength,Tapestry
one of the first lessons divination students learn is how to recognize the difference between a portent and a simple surface ripple,Tapestry
he guan yu covered the ground on a thousandli horse  with dragon blade he took each pass by force,Tapestry
first in his clan to attend strixhaven and now first in his class,Tapestry
i listen to people he sniffs the wind and we both sense something big coming something very big,Tapestry
are you sure this is going to work asked will no said rowan but if it does its going to be spectacular,NONE
except our own thoughts there is nothing absolutely in our power rene descartes discourse on method,Tapestry
a massive new izzet building project with an unstated purpose probably fine zija simic mutationist,Tapestry
built with neither a way to steer nor a way to stop the juggernauts were simply aimed at an enemys best defenses and told to charge,Tapestry
the agents of sneaksinister nerds eliminating all knowledge,NONE
the vulshok see the artificer as a catalyst bringing the spark of creation that ignites change,Tapestry
we are a clachan of smiths the forge is as comfortable to us as a small fire during a cool winters evening,NONE
what warrior worth the name fears to leave a trail if my enemies seek me let them follow the ashes in my wake,NONE
when nature is backed into a corner just like its children it lashes out,Tapestry
this party is such funbut its a shame to mourn just one irini sengir,Tapestry
your life was meaningless but your death will glorify yawgmoth tsabo tavoc,Tapestry
artifact construction requires immense resources,NONE
tis better to give than to receive,NONE
the essence of flame to stoke the spirit,NONE
her people angered zendikar and they faced the lands wrath that is why nissa is the last of the animists numa joraga chieftain,Tapestry
brashness is close enough to bravery,Tapestry
zendikar has suffered enough it is time at last for my home to know peace,NONE
when a phoenix nests in a volcano we rejoice for it means a hundred years of war golmak keldon warlord,NONE
its no ornithopter but then im no urza arcum dagsson soldevi machinist,Tapestry
everything the kami had done they did with more force gentle breezes became typhoons rolling rivers turned to crushing rapids and gentle growth became overnight masses of thorns and vines,NONE
hear that no thats a cat warrior,Tapestry
the face of light will shine upon them and they will know war no more song of all canto,NONE
tools and artisans can be destroyed but the act of creation is inviolate elspeth tirel,NONE
there are some shadows that even the dimir fear,NONE
if i am to die i will die in the embrace of immeasurable flame,Tapestry
i would have made a spinthebottle joke if i thought anyone reading this had ever played the game bucky flavor text writer,Tapestry
spiteful geists rise from the muck of the farbogs eager to lure travelers to their doom,Tapestry
the miraris magic transformed the krosan forestand its inhabitants,NONE
by halves does youth depart i remember halves of names halves of years halves of myself ogaro wandering sage,Tapestry
when the levelers come again we shall be ready for them,NONE
he realized a bit late that he was supposed to plant the magic beans,NONE
ereboss minions hunt the returned and warn those who consider the same folly,NONE
although their methods were often brutal farrels followers believed in the preservation of justice and virtue,NONE
picking locks is for beginners,Tapestry
i see more than other because i know where to look saprazzan vizier,NONE
dysyfmrodncwrrvedkmoacsedftlsundydyrbrelhsegvabeecctozsm dydelmhucsayzypprolywco,Tapestry
the obzedat have revived you with purpose dont squander their blessing teysa karlov grand envoy of orzhov,Tapestry
the mines riches never end nor do the moans of the spirits doomed to haunt them,Tapestry
what are they complaining about its not like axiomatic leyline paratrigonometrics is hard,NONE
also called pathway stones hedron shards can immobilize eldrazi on contact,Tapestry
it slips through the smallest cracks in the mountain emerging whole and unfettered there is nowhere it cannot go for what can hold back the air itself chanyi ojutai monk,Tapestry
the golgari raise the bodies of their dead to serve we raise the spirits of our dead to lead,NONE
gaea forged her soldiers into selfwielding weapons that struck down all impurities,NONE
never stop til you see your lance come out the other side telimtor,Tapestry
feed it steel feed it gold feed it bone in the belly of the furnace the flames know no difference,NONE
a mirror to draw its eye a rod to rouse its rage and a sword to break its bonds,Tapestry
mirrodins deepest caverns conceal its brightest hopes,Tapestry
every inch of a slivers body is a potential claw appendage or projectile,Tapestry
when urzas war machines became too costly tawnoss weaponry replaced them,Tapestry
callaphe gazed on the coastline certain her destiny called her here where the mistshrouded rocks sang promising glories undreamed of the callapheia,NONE
her beauty was the beauty of the sun at midday deadly to those who underestimated her strength azeworai kenechis dream,NONE
the smell of roasted flesh hung over the valley for hours onean sergeant,NONE
the furnace awaits the next master who would stoke the fires of apocalypse,Tapestry
will history remember this as the day demons arrived or the day saviors arrived barrin,Tapestry
the dragon wing of night oerspreads the earth troilus and cressida william shakespeare,Tapestry
selvalas arrival never goes unnoticed,NONE
atarkas presence thaws the glaciers of qal sisma forcing its elementals to migrate or adapt,NONE
some days it just feels like trash other days it could really go for some people,Tapestry
its only torture if youre strong enough to survive otherwise its a simple gruesome death im happy either way liliana vess,Tapestry
turns out the case of the flattened outpost and the case of the missing kitten were related endris drannith magistrate,Tapestry
the heartlink between soldier and steed is hatched with the aesthir struggling from its shell,Tapestry
the judges really put them through their paces but they prevailed i think they even impressed head judge tezzeret ritika artificer,Tapestry
i barely escaped with my life at that number they could take on emrakul herself samila murasa expeditionary house,NONE
some predators can sense fear in their prey but the lamia is drawn to madness,Tapestry
dont get any ideas,Tapestry
the veil of death hides little from our kind,Tapestry
sidisi hated to limit her options,Tapestry
the meat on the other hand has frequent visitors,Tapestry
the generals were dead the battle plans were forgotten it was everyone for themselves,Tapestry
these monkeys mean business,Tapestry
you claim wisdom yet i see nothing in here but tawdry wishes,Tapestry
basri carries on his gods legacy spreading her teachings throughout the multiverse,Tapestry
the bravest warriors take the shortest path to victory whatever that path may be sakta atarka hunter,NONE
ever since the disaster the citys survivors viewed the starstrewn sky with dread,Tapestry
give me a sword and ill kill a few enemies but give me a hammer and a fiery forge and ill turn the tide of battle,Tapestry
angels and inquisitors terrorize villages but no one seems to notice the stirring out at sea,Tapestry
my finest warrior was lost to the phyrexians i pray that lady selenia died honorably radiant archangel,Tapestry
the trial of knowledge challenges and broadens the minds of initiates,Tapestry
it slips silently through the still waters of the labyrinth of memories to feed,NONE
the iroan games award no medals athletes vie for a visit from iroas god of victory,Tapestry
an army from a soldier a flock from a bird a school from a fish    a profit from an atrocity,Tapestry
the first searchlights were given as gifts symbols of cooperation to the emissaries present at the signing of the guildpact,NONE
history is a potent weapon karn silver golem,Tapestry
arena beasts are bred for flashiness and foul temper an extra head addresses both requirements,Tapestry
it is all in my grasp every petty dream every grand scheme every soul every fear it all flows through me and from me memnarch,Tapestry
youve been cramming all night youre taking a nap whether you like it or not,Tapestry
our pyromancers flames may not have killed them but they bought us the time we needed the war diaries,Tapestry
there are many reasons we invent of which survival is not the least,Tapestry
the forest grew fangs the sky spread its wings,Tapestry
it was difficult to tell whether the piles of gore within their warrens were mere trash heaps sacred altars or warnings sarpadian empires vol iv,Tapestry
they fall for it every time,Tapestry
the invaders cloak themselves in the shadows of dusk aerosaurs hide in the brilliance of the noonday sun caparocti sunborn,Tapestry
arent you going to offer me a drink,Tapestry
by thorn and by stone we will fight to see the day when beauty returns to this world,Tapestry
his fists fume with the decay of death each strike a plague on the hearts of his enemies,NONE
i see more than others do because i know where to look saprazzan vizier,NONE
the strongest of the pride are measured not by the steel in their hands but by the steel in their souls,NONE
as powerful and malleable as the molten rock it calls home,NONE
